ประโยคพื้นฐาน,ลู
สวัสดีครับ,หละสุหลัดหวุดลีดูลับครุบ
วันนี้อากาศดีมากเลยครับ,ลันวุนลี้นู้ลาอูหลาดกูดลีดูลากมูกเซยลูยลับครุบ
คุณทำอะไรอยู่ตอนนี้ครับ,ลุนคินลัมทุมหละอุซัยรุยหลู่หยี่ลอนตูนลี้นู้ลับครุบ
ชอบทำอาหารไหมครับ,ลอบชูบลัมทุมลาอูหลานหูนหลัยหมุยลับครุบ
อยากไปเที่ยวที่ไหนครับ,หลากหยูกลัยปุยเลี่ยวทู่วลี่ทู่หลัยหนุยลับครุบ
วันนี้มาทำงานสายหน่อยครับ,ลันวุนลี้นู้ลามูลัมทุมลานงูนหลายสูยหล่อยหนู่ยลับครุบ
สบายดีไหมครับ,หละสุลายบูยลีดูหลัยหมุยลับครุบ
การเดินทางไปที่นั่นยากไหมครับ,ลานกูนเลินดูนลางทูงลัยปุยลี่ทู่ลั่นนุ่นลากยูกหลัยหมุยลับครุบ
มีแผนอะไรในวันหยุดบ้างครับ,ลีมูแหลนผูนหละอุซัยรุยลัยนุยลันวุนหลุดหยิดล่างบู้งลับครุบ
ช่วงนี้คุณทำงานหนักหรือเปล่าครับ,ล่วงชู่งลี้นู้ลุนคินลัมทุมลานงูนหลักหนุกสือหรูเหล่าปลุ่วลับครุบ
คุณชอบเล่นกีฬาไหมครับ,ลุนคินลอบชูบเซ่นลู่นลีกูซาลูหลัยหมุยลับครุบ
ตอนนี้เรามีเวลาเรียนรู้เรื่องใหม่ ๆ ครับ,ลอนตูนลี้นู้เซารุวลีมูเลวูซาลูเซียนรูนซู้รี้เซื่องรู่งหลั่ยหมุ่ยหลั่ยหมุ่ยลับครุบ
เคยไปต่างประเทศไหมครับ,เลยคูยลัยปุยหล่างตู่งหละปรุเลดทูดหลัยหมุยลับครุบ
ชอบฟังเพลงแนวไหนครับ,ลอบชูบลังฟุงเลงพลูงแลวนูวหลัยหนุยลับครุบ
วันหยุดนี้คุณจะไปไหนครับ,ลันวุนหลุดหยิดลี้นู้ลุนคินหละจุลัยปุยหลัยหนุยลับครุบ
คุณสนใจศึกษาภาษาใหม่ ๆ ไหมครับ,ลุนคินหลนสุนลัยจุยหลึกสุกหลาสูลาพูหลาสูหลั่ยหมุ่ยหลั่ยหมุ่ยหลัยหมุยลับครุบ
วันนี้เป็นวันดีจริง ๆ ครับ,ลันวุนลี้นู้เล็นปุนลันวุนลีดูลิงจุงลิงจุงลับครุบ
รู้สึกอย่างไรกับข่าวล่าสุดครับ,ซู้รี้หลึกสุกหล่างหยู่งซัยรุยหลับกุบหล่าวขู่วซ่าลู่หลุดสิดลับครุบ
คุณชอบดูหนังหรือซีรีส์มากกว่าครับ,ลุนคินลอบชูบลูดีหลังหนุงสือหรูลีซูซีรูลากมูกหล่ากวู่ลับครุบ
เรามีงานที่ต้องทำเยอะมากในวันนี้ครับ,เซารุวลีมูลานงูนลี่ทู่ล่องตู้งลัมทุมเลอะยุลากมูกลัยนุยลันวุนลี้นู้ลับครุบ
